Epoch	Train Loss	Test Loss
1	0.3020670684857871	0.19585445243865252
2	0.17713884309457895	0.16149911204619066
3	0.15387715927709025	0.14567533115457212
4	0.13966638697222017	0.1353067684519504
5	0.13185110300208053	0.12841196384813106
6	0.13106903500450304	0.12809496076910623
7	0.12942216902399978	0.12292112669508372
8	0.12575238248029838	0.12439772273812975
9	0.12510104225085567	0.11952387731123183
10	0.12076551921832294	0.12137939617969096
11	0.11991857989622762	0.11247100501454302
12	0.12339339107751085	0.11037538164029163
13	0.11872280955600281	0.11611600586080126
14	0.11842959264692027	0.11394353759741145
15	0.11542479484416425	0.10014031637859132
16	0.11451523427289134	0.10398932489832598
17	0.11412238967590058	0.12429186648556165
18	0.11324247308432485	0.11732257975797568
19	0.11070335180329058	0.1255801341695977
