Epoch	Train Loss	Test Loss
1	0.2949035402145809	0.18368064722661195
2	0.15339513257807025	0.120748312172422
3	0.11128721910023445	0.10622018208486612
4	0.09789473782118677	0.0924639718954643
5	0.0918918747594739	0.08957750927746011
6	0.08691361363430479	0.08426828215424524
7	0.08430300785209538	0.0804524845198581
8	0.08061521884320946	0.07835571093564969
9	0.08056963235139847	0.081415251271719
10	0.08297534635347718	0.08017389296273296
11	0.08017600569301905	0.07691293161665423
12	0.07680975991609561	0.07349318201747237
13	0.07587936067947348	0.0759708385504604
14	0.07406228386603118	0.07497631323537188
15	0.07225513097165795	0.07090508816630076
16	0.07416262790408151	0.07561344193499625
17	0.07603583126344779	0.07249363363858616
18	0.07117288830489836	0.07459400943591835
19	0.07312220141749333	0.08976848213153593
