Epoch	Train Loss	Test Loss
1	0.4705111816525459	0.3665074055845087
2	0.3153577595949173	0.2755660238591107
3	0.2516821950674057	0.2356277880343524
4	0.22301700562238694	0.21731603281064468
5	0.21018118485808374	0.2078108394687826
6	0.2015690676867962	0.2022575085813349
7	0.1976350650191307	0.19839586859399622
8	0.19402943029999734	0.19536233083768326
9	0.1906277172267437	0.19273951785130936
10	0.1880293644964695	0.19088941677050156
11	0.18533678129315376	0.19076243042945862
12	0.18408382758498193	0.18901489945975217
13	0.1809419684112072	0.18639076975258914
14	0.17862074375152587	0.18393329056826505
15	0.17641390562057496	0.18095034496350723
16	0.17112845405936242	0.16938157108697025
17	0.16496359035372735	0.16081244159828534
18	0.1517341949045658	0.14958458597009833
19	0.14412499889731406	0.140877520496195
20	0.1293038833886385	0.13270775906064294
21	0.12211634032428265	0.12591455605897037
22	0.11536237001419067	0.1314538209275766
23	0.1143291149288416	0.11573693765835329
24	0.10440160743892193	0.10912724313410846
25	0.10027107372879981	0.11445170031352477
26	0.10043954513967038	0.10479863326657902
27	0.09620263800024986	0.10302883996204897
28	0.0905086848884821	0.09596455774523995
29	0.08788278326392174	0.09420090439644727
30	0.08439145609736443	0.09152039343660529
31	0.08504843264818192	0.09877110949971458
32	0.08104651309549808	0.0873510790142146
33	0.07796231396496296	0.0883312387899919
34	0.07809727936983109	0.08818819441578606
35	0.07561358958482742	0.08958183432167227
36	0.0907436240464449	0.09079962968826294
37	0.0758733693510294	0.08670225129886107
38	0.07013105563819408	0.08742401003837585
39	0.07198287695646285	0.08556617525490848
40	0.07001030445098877	0.0810741934586655
41	0.06486401502043009	0.07883084023540671
42	0.06793160662055016	0.0912041189995679
43	0.07499067112803459	0.08480170843276111
44	0.06796515136957168	0.08337652852589433
45	0.06491476446390151	0.08736645565791563
46	0.06796551439911128	0.07763998210430145
47	0.06330981869250536	0.08412016860463402
48	0.061777956783771515	0.08848291432315653
49	0.06578210424631833	0.08360353044488213
50	0.06227706335484982	0.08571751347996971
