Epoch	Train Loss	Test Loss
1	0.19047119271860946	0.1557299536894042
2	0.15696553918977005	0.15206958718627572
3	0.14567922696702496	0.14073715771574424
4	0.1354887248770625	0.13784073759241408
5	0.1281366599537845	0.13547601467703443
6	0.12141119573108373	0.13384047177327107
7	0.1129180220040408	0.1316517880000916
8	0.10783768610454716	0.1265651434363122
9	0.10041581627865324	0.1343814375628513
10	0.09684367258176042	0.1313810641784592
11	0.09063992457683229	0.12853797082882004
12	0.08948534733704612	0.1348225558362159
